timestamp,open,high,low,close,volume
1704067200,42000,42200,41800,42100,120
1704070800,42100,42450,42050,42400,98
1704074400,42400,42520,42100,42250,150
1704078000,42250,42700,42200,42650,200
1704081600,42650,42800,42400,42500,180
1704085200,42500,42600,42000,42150,210
1704088800,42150,42300,41900,42200,190
1704092400,42200,43000,42100,42900,250
1704096000,42900,43200,42750,43100,240
1704099600,43100,43300,42950,43050,220
1704103200,43050,43400,43000,43350,210
1704106800,43350,43500,43200,43450,205
1704110400,43450,43700,43300,43650,215
1704114000,43650,43900,43550,43800,225
1704117600,43800,44100,43700,44050,230
1704121200,44050,44200,43850,43900,210
1704124800,43900,44050,43600,43750,205
1704128400,43750,43850,43400,43500,190
1704132000,43500,43600,43200,43250,195
1704135600,43250,43400,43050,43150,185
